time_utc,event
2026-03-24T04:26:29Z,rise
2026-03-24T04:29:38Z,peak
2026-03-24T04:32:46Z,set
2026-03-24T06:04:10Z,rise
2026-03-24T06:06:13Z,peak
2026-03-24T06:08:15Z,set
2026-03-24T19:32:01Z,rise
2026-03-24T19:33:20Z,peak
2026-03-24T19:34:39Z,set
2026-03-24T21:06:32Z,rise
2026-03-24T21:09:49Z,peak
2026-03-24T21:13:07Z,set
2026-03-25T03:39:50Z,rise
2026-03-25T03:42:33Z,peak
2026-03-25T03:45:14Z,set
2026-03-25T05:16:25Z,rise
2026-03-25T05:19:22Z,peak
2026-03-25T05:22:18Z,set
2026-03-25T20:19:25Z,rise
2026-03-25T20:22:48Z,peak
2026-03-25T20:26:12Z,set
2026-03-25T21:59:03Z,rise
2026-03-25T22:00:04Z,peak
2026-03-25T22:01:04Z,set
2026-03-26T02:53:27Z,rise
2026-03-26T02:55:22Z,peak
2026-03-26T02:57:16Z,set
2026-03-26T04:29:08Z,rise
2026-03-26T04:32:27Z,peak
2026-03-26T04:35:44Z,set
2026-03-26T19:32:36Z,rise
2026-03-26T19:35:50Z,peak
2026-03-26T19:39:05Z,set
2026-03-26T21:10:34Z,rise
2026-03-26T21:12:49Z,peak
2026-03-26T21:15:05Z,set
2026-03-27T03:42:05Z,rise
2026-03-27T03:45:27Z,peak
2026-03-27T03:48:48Z,set
2026-03-27T18:46:10Z,rise
2026-03-27T18:48:54Z,peak
2026-03-27T18:51:39Z,set
2026-03-27T20:22:44Z,rise
2026-03-27T20:25:38Z,peak
2026-03-27T20:28:33Z,set
2026-03-28T02:55:11Z,rise
2026-03-28T02:58:22Z,peak
2026-03-28T03:01:32Z,set
2026-03-28T04:33:00Z,rise
2026-03-28T04:34:56Z,peak
2026-03-28T04:36:51Z,set
2026-03-28T18:00:29Z,rise
2026-03-28T18:02:00Z,peak
2026-03-28T18:03:30Z,set
2026-03-28T19:35:14Z,rise
2026-03-28T19:38:30Z,peak
2026-03-28T19:41:46Z,set
2026-03-29T02:08:27Z,rise
2026-03-29T02:11:13Z,peak
2026-03-29T02:13:57Z,set
2026-03-29T03:45:07Z,rise
2026-03-29T03:48:01Z,peak
2026-03-29T03:50:54Z,set
2026-03-29T18:48:02Z,rise
2026-03-29T18:51:24Z,peak
2026-03-29T18:54:48Z,set
2026-03-29T20:27:52Z,rise
2026-03-29T20:28:41Z,peak
2026-03-29T20:29:29Z,set
2026-03-30T01:21:57Z,rise
2026-03-30T01:23:58Z,peak
2026-03-30T01:25:58Z,set
2026-03-30T02:57:43Z,rise
2026-03-30T03:01:01Z,peak
2026-03-30T03:04:18Z,set
2026-03-30T18:01:06Z,rise
2026-03-30T18:04:21Z,peak
2026-03-30T18:07:37Z,set
2026-03-30T19:39:11Z,rise
2026-03-30T19:41:22Z,peak
2026-03-30T19:43:33Z,set
